OBJECTID,FEATURETYPE,NAME,CLASS,OPERATOR,OWNER,SITEADDRESS,SITESUBURB,POSTCODE,STATE,STATUS,GENERATIONTYPE,PRIMARYFUELTYPE,PRIMARYSUBFUELTYPE,GENERATIONMW,GENERATORNUMBER,FEATURERELIABILITY,FEATURESOURCE,ATTRIBUTERELIABILITY,ATTRIBUTESOURCE,PLANIMETRICACCURACY,SPATIALACCURACY,METADATACOMMENT,METADATALINK1,RESTRICTIONS,REVISED,ENO,TEXTNOTE
2,Power Station,Wonthaggi Wind Farm,Renewable,Regional Wind Farms,Origin Energy,Graham Street,Wonthaggi,3995,VICTORIA,Operational,Wind Turbine,Wind,,12,6,22/3/06,basscoast_2006mar22_air_vis_35cm_mga55,31/7/12,AEMO Generator List,2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power St/Users/xinding/project3/NationalMajorPowerStations.csvations\Photos\wonthaggi_wind_farm.jpg,,11/9/12,259650,
3,Power Station,Walkaway Wind Farm,Renewable,Infigen Energy Pty Ltd,Infigen Energy Pty Ltd,Allanooka Springs Road,Walkaway,6528,WESTERN AUSTRALIA,Operational,Wind Turbine,Wind,,89.1,54,1/2/06,GERALDTON_1840_FEB_2006_MOSAIC.ECW,1/12/11,AEMO_ESOO2011chapter4.pdf,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\alinta_wind_farm.jpg,,11/9/12,259761,
4,Power Station,Cullerin Range Wind Farm,Renewable,Cullerin Range Wind Farm Pty Ltd,Origin Energy,Old Hume Highway,Gunning,2581,NEW SOUTH WALES,Operational,Wind Turbine,Wind,,30,15,1/1/01,Gunning.ecw,31/7/12,AEMO Generator List,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\cullerinrange_wind_farm.jpg,,11/9/12,358419,
5,Power Station,Wattle Point Wind Farm,Renewable,,ANZ Energy Infrastructure Trust,Sheoak Beach Road,Edithburgh,5583,SOUTH AUSTRALIA,Operational,Wind Turbine,Wind,,90.75,55,1/1/99,YorkePeninsula_2m_MGA53,31/7/12,AEMO Generator List,25,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\wattlepoint_wind_farm.jpg,,13/9/12,259726,
6,Power Station,Snowtown Wind Farm Stage 1,Renewable,TrustPower Ltd,TrustPower Ltd,Port Wakefield Road,Snowtown,5520,SOUTH AUSTRALIA,Operational,Wind Turbine,Wind,,98.7,47,1/1/99,CFS_Midnorth_MGA53,31/7/12,AEMO Generator List,25,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\snowtown_wind_farm.bmp,,13/9/12,259730,
7,Power Station,Challicum Hills Wind Farm,Renewable,Pacific Hydro Challicum Hills Pty Ltd,Pacific Hydro Pty Ltd,Geelong Road,Buangor,3377,VICTORIA,Operational,Wind Turbine,Wind,,52.5,35,1/1/03,Glenelg_HopkinsCMA_125cm_2003,31/7/12,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\challicumhills_wind_farm.jpg,,11/9/12,259597,
8,Power Station,Cape Bridgewater Wind Farm,Renewable,Pacific Hydro Portland Wind Farm Pty Ltd,Pacific Hydro Pty Ltd,Blowholes Road,Cape Bridgewater,3305,VICTORIA,Operational,Wind Turbine,Wind,,58,29,1/1/03,Glenelg_HopkinsCMA_125cm_2003,31/7/12,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\capebridgewater_wind_farm.jpg,,11/9/12,259515,
9,Power Station,Barcaldine (Len Wishaw) Power Station,Non-Renewable,,Ergon Energy Qld Pty Ltd,,Barcaldine,4725,QUEENSLAND,Operational,Combined Cycle Gas Turbine,Natural Gas,,55,1,3/4/10,AUO_S24E145-C,31/7/12,AEMO Generator List,,5, ,,,13/9/12,259120,
10,Power Station,Bluff Point (Woolnorth) Wind Farm,Renewable,Roaring 40s Renewable Energy Pty Ltd,Hydro-Electric Corporation (Tasmania),Bluff Point,Woolnorth,7330,TASMANIA,Operational,Wind Turbine,Wind,,65,37,14/3/08,AUL_S41E144-D,31/7/12,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\woolnorth_wind_farm.jpg,,11/9/12,259613,
11,Power Station,Studland Bay (Woolnorth) Wind Farm,Renewable,Roaring 40s Renewable Energy Pty Ltd,Hydro-Electric Corporation (Tasmania),Studland Bay,Woolnorth,7330,TASMANIA,Operational,Wind Turbine,Wind,,75,25,14/3/08,AUL_S41E144-D,31/7/12,AEMO Generator List,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\woolnorth_wind_farm.jpg,,11/9/12,259613,
